POWER,3.3V
GND,GND
USB_ID,PA10
USB_DM,PA11
USB_DP,PA12
SWDIO,PA13
SWCLK,PA14
FLASH_CS,PA15
E0,PA3
A0,PA4
A1,PA5
A2,PA6
A3,PA7
SD_DETECT,PA8
USB_VBUS,PA9
D1,PB10
D0,PB11
E6,PB12
E5,PB13
E3,PB14
E4,PB15
E1,PB0
E2,PB1
BOOT1,PB2
FLASH_SCK,PB3
FLASH_MISO,PB4
FLASH_MOSI,PB5
E14,PB6
E15,PB7
D9,PB8
D10,PB9
D8,PC0
NEOPIXEL,PC0
D13,PC1
LED_BUILTIN,PC1
E10,PC10
E11,PC11
E12,PC12
D12,PC2
GUID_SDO,PC2
D11,PC3
GUID_SDA,PC3
A4,PC4
A5,PC5
D6,PC6
CAN1_SLP,PC6
D5,PC7
FUNCTION_BUTTON,PC7
E7,PC8
E8,PC9
E13,PD2
E17,PA0
NC_A1,PA1
NC_A2,PA2
